BAYESIAN RESULTS
Input 1 (Ego Speed),Input 2 (Target Speed),Output 1 (TTC),Output 2(Jerk),HyperVolum,Generational Distance,Is_Pareto
23.0,2.7,1.3937190771102905,-2.962508273126337,7.51087374500304,5.669938496711188,
23.2,3.9,1.3230161666870117,-11.761595082271663,7.51087374500304,5.669938496711188,
22.7,4.1,1.3952275514602661,-8.783281612389423,7.51087374500304,5.669938496711188,
17.7,0.0,1.1951509714126587,-1.0923826694494578,7.51087374500304,5.669938496711188,
20.2,4.7,1.245631456375122,-1.5760607242592963,7.51087374500304,5.669938496711188,
25.0,9.4,0.8266261219978333,-10.149053223418704,7.51087374500304,5.669938496711188,
16.0,6.5,1.2945420742034912,-1.2734889984115296,7.51087374500304,5.669938496711188,
16.5,9.4,0.8351705074310303,-2.5632729530303147,7.51087374500304,5.669938496711188,
24.5,9.7,1.190842866897583,-8.10267615317308,7.51087374500304,5.669938496711188,
20.7,1.4,1.3305573463439941,-2.84990382194677,7.51087374500304,5.669938496711188,
23.3,10.4,0.8406167030334473,-11.030829048104067,7.51087374500304,5.669938496711188,
23.5,10.7,0.7132030725479126,-10.45620598793439,7.51087374500304,5.669938496711188,
15.1,9.0,1.141997218132019,-5.689960610879806,7.51087374500304,5.669938496711188,
25.0,8.7,0.9963316321372986,-10.185379266726445,7.51087374500304,5.669938496711188,
15.9,10.3,0.7705784440040588,-8.832434892612246,7.51087374500304,5.669938496711188,
19.4,9.9,0.7748072743415833,-9.412796854964432,7.51087374500304,5.669938496711188,
20.6,11.0,0.7330693006515503,-9.921697974222896,7.51087374500304,5.669938496711188,
21.2,10.6,0.8414930701255798,-10.707526803032142,7.51087374500304,5.669938496711188,
21.1,7.6,0.9308549165725708,-8.011340254535419,7.51087374500304,5.669938496711188,
14.0,4.7,0.9262418150901794,-2.2022490501376892,7.51087374500304,5.669938496711188,
23.9,7.9,1.2560454607009888,-9.094955623138755,7.51087374500304,5.669938496711188,
24.0,7.7,1.2560454607009888,-9.094955623138755,7.51087374500304,5.669938496711188,
24.8,5.2,1.3629871606826782,-12.236490177183654,7.51087374500304,5.669938496711188,
24.2,10.9,0.7625625729560852,-11.403219032240704,7.51087374500304,5.669938496711188,
14.8,10.7,0.8452557325363159,-9.860769009543064,7.51087374500304,5.669938496711188,
